country,year,population,dNNdt,years_ed,calories_pd
Brazil,1963,79602001,0.029338507,2.264929006,4209.298344
Brazil,1964,81972001,0.028371806,2.282154487,4227.654918
Brazil,1965,84331001,0.027358271,2.298796915,4592.528888
Brazil,1966,86670001,0.026483622,2.315934909,4314.670077
Brazil,1967,88996001,0.025745544,2.334577886,4613.725701
Brazil,1968,91317001,0.025174067,2.355666055,4530.84383
Brazil,1969,93645001,0.0247434,2.38007042,4482.560572
Brazil,1970,95991001,0.024328945,2.408592781,4584.593494
Brazil,1971,98355001,0.023919851,2.44196573,4558.311018
Brazil,1972,100736001,0.023651922,2.480852656,4648.769154
Brazil,1973,103147001,0.023569502,2.525847741,4653.166487
Brazil,1974,105607001,0.023581805,2.577475961,4773.22624
Brazil,1975,108127001,0.023589642,2.636193089,4792.451604
Brazil,1976,110708001,0.023548983,2.70238569,5205.79783
Brazil,1977,113346001,0.023524342,2.776371125,5401.916674
Brazil,1978,116044001,0.023488812,2.858397548,5123.08421
Brazil,1979,118802001,0.023426743,2.948643908,5352.66108
Brazil,1980,121618001,0.023372537,3.047219951,5993.944855
Brazil,1981,124494001,0.023215498,3.154166213,5931.507207
Brazil,1982,127418001,0.022834504,3.269454029,6090.08864
Brazil,1983,130361001,0.022152156,3.392985525,5627.627388
Brazil,1984,133281001,0.021290193,3.524593623,5931.340515
Brazil,1985,136149001,0.020407462,3.66404204,6279.921239
Brazil,1986,138956001,0.019590096,3.811025287,6101.175545
Brazil,1987,141705001,0.01877054,3.965168669,6382.508424
Brazil,1988,144390001,0.017989442,4.126028287,6286.540824
Brazil,1989,147011001,0.017257097,4.293091034,6302.768793
Brazil,1990,149570001,0.016510669,4.465774599,5789.596486
Brazil,1991,152060001,0.015821824,4.643427466,5896.057087
Brazil,1992,154485001,0.015339557,4.825328914,6378.73168
Brazil,1993,156873001,0.0151392,5.010689013,6226.082776
Brazil,1994,159266001,0.015117531,5.198648632,6793.129662
Brazil,1995,161692001,0.015129996,5.388279432,6931.592252
Brazil,1996,164157001,0.015072518,5.578583869,6648.006978
Brazil,1997,166650001,0.014961031,5.768495193,6422.726311
Brazil,1998,169162001,0.014746319,5.95687745,6491.629947
Brazil,1999,171675001,0.014451645,6.142525478,6696.554964
Brazil,2000,174174001,0.014166521,6.324164912,6653.446346
Brazil,2001,176659001,0.0138514,6.50045218,6992.921365
Brazil,2002,179123001,0.013386769,6.669974505,6975.38613
Brazil,2003,181537001,0.012736864,6.831249905,7833.07562
Brazil,2004,183864001,0.011953464,6.982727192,NA
India,1963,476632001,0.02077787,1.203391236,2464.639463
India,1964,486639001,0.020934645,1.250273446,2527.514296
India,1965,496934001,0.02108875,1.300925598,2293.292848
India,1966,507525001,0.021235896,1.355179646,2269.141377
India,1967,518418001,0.021377902,1.412869426,2430.480103
India,1968,529620001,0.021503473,1.47383065,2449.829038
India,1969,541132001,0.021629658,1.53790091,2476.509713
India,1970,552964001,0.021722194,1.604919677,2602.99735
India,1971,565107001,0.021821479,1.674728301,2483.750365
India,1972,577574001,0.021984026,1.74717001,2331.576304
India,1973,590412001,0.02223194,1.822089911,2524.250811
India,1974,603685001,0.022516402,1.899334989,2289.569593
India,1975,617432001,0.022798165,1.978754111,2565.155504
India,1976,631670001,0.023009631,2.060198018,2288.366307
India,1977,646373001,0.023112083,2.143519334,2563.141916
India,1978,661486001,0.023076096,2.22857256,2624.719541
India,1979,676928001,0.022941137,2.315214075,2322.296581
India,1980,692637001,0.022769616,2.403302139,2376.233862
India,1981,708589001,0.022598011,2.492696889,2504.925251
India,1982,724784001,0.022417052,2.58326034,2337.16705
India,1983,741215001,0.02223433,2.674856389,2675.71013
India,1984,757880001,0.022047603,2.767350809,2582.717326
India,1985,774775001,0.021832149,2.860611253,2535.982978
India,1986,791876001,0.02159433,2.954507253,2498.658041
India,1987,809162001,0.021364099,3.048910218,2422.938156
India,1988,826635001,0.021148192,3.143693438,2728.466463
India,1989,844303001,0.020931753,3.238732081,2832.275892
India,1990,862162001,0.020716191,3.333903194,2714.765725
India,1991,880209001,0.020467155,3.429085701,2734.311742
India,1992,898410001,0.020145004,3.524160408,2808.526867
India,1993,916692001,0.019734349,3.619009997,2713.534285
India,1994,934962001,0.019264304,3.713519031,2771.723483
India,1995,953148001,0.018772526,3.80757395,2783.151439
India,1996,971210001,0.018303272,3.901063073,2876.991323
India,1997,989150001,0.017880932,3.993876599,2781.233823
India,1998,1006996001,0.017524854,4.085906605,2721.94358
India,1999,1024799001,0.017211506,4.177047047,2801.056915
India,2000,1042590001,0.016910845,4.267193759,2687.426097
India,2001,1060371001,0.016591589,4.356244456,2763.930005
India,2002,1078111001,0.016244139,4.444098729,2450.242717
India,2003,1095767001,0.015858733,4.530658049,2735.537311
India,2004,1113283001,0.015451078,4.615825767,NA
Japan,1963,95929001,0.010679874,7.907963753,3041.659686
Japan,1964,96959001,0.011209741,7.973398421,3090.701521
Japan,1965,98052001,0.011730786,8.039092531,3122.579954
Japan,1966,99209001,0.012232231,8.105247929,3236.486152
Japan,1967,100430001,0.012694154,8.172049651,3467.146583
Japan,1968,101713001,0.013107704,8.239665923,3530.267
Japan,1969,103055001,0.013426514,8.308248159,3560.407505
Japan,1970,104448001,0.013758697,8.377930966,3546.975572
Japan,1971,105895001,0.013953846,8.44883214,3265.421151
Japan,1972,107383001,0.013734256,8.521052667,3483.172243
Japan,1973,108868001,0.013013388,8.594676722,3614.546756
Japan,1974,110294001,0.011941759,8.669771674,3600.012753
Japan,1975,111619001,0.010720069,8.746388077,3591.441297
Japan,1976,112822001,0.009614865,8.824559678,3586.603584
Japan,1977,113912001,0.0087491,8.904303415,3836.525469
Japan,1978,114913001,0.008241769,8.985619414,3891.706962
Japan,1979,115864001,0.00799461,9.068490992,3974.199714
Japan,1980,116794001,0.007846254,9.152884657,3787.895458
Japan,1981,117714001,0.007574415,9.238750104,3767.165418
Japan,1982,118609001,0.007149218,9.326020223,3819.036855
Japan,1983,119460001,0.00644994,9.41461109,3889.991403
Japan,1984,120233001,0.005598399,9.504421973,4088.595306
Japan,1985,120908001,0.004686787,9.595335329,4107.713667
Japan,1986,121476001,0.003910812,9.687216808,4131.857134
Japan,1987,121952001,0.003397201,9.779915245,4086.444323
Japan,1988,122367001,0.003279815,9.873262671,4008.044858
Japan,1989,122769001,0.003431456,9.967074303,4006.102415
Japan,1990,123191001,0.003686648,10.06114855,3995.336223
Japan,1991,123646001,0.003850365,10.15526701,3922.522951
Japan,1992,124123001,0.003851648,10.24919447,3977.331769
Japan,1993,124602001,0.003581003,10.34267891,3791.478924
Japan,1994,125049001,0.00313784,10.4354515,4027.811093
Japan,1995,125442001,0.002627244,10.5272266,3902.258693
Japan,1996,125772001,0.002199976,10.61770175,3811.933137
Japan,1997,126049001,0.001878456,10.70655771,3872.371584
Japan,1998,126286001,0.001693132,10.79345838,3702.239093
Japan,1999,126500001,0.001627134,10.87805091,3768.382866
Japan,2000,126706001,0.001585093,10.95996559,3729.982898
Japan,2001,126907001,0.00149604,11.03881592,3665.609327
Japan,2002,127097001,0.001305237,11.1141986,3671.653643
Japan,2003,127263001,0.000950335,11.18569351,3569.818338
Japan,2004,127384001,0.000510138,11.25286371,NA
Mexico,1963,41715001,0.03154791,2.957496723,3527.988675
Mexico,1964,43052001,0.031483721,3.041161572,3779.131262
Mexico,1965,44429001,0.031330105,3.130045487,3715.912378
Mexico,1966,45843001,0.031097487,3.223869202,3973.30963
Mexico,1967,47291001,0.03102089,3.322359401,3667.389806
Mexico,1968,48781001,0.031041846,3.425248717,3920.173739
Mexico,1969,50319001,0.03112871,3.532275732,3772.58781
Mexico,1970,51910001,0.031141694,3.64318498,4148.530995
Mexico,1971,53552001,0.030979874,3.757726943,3941.847589
Mexico,1972,55237001,0.030610905,3.875658053,3772.763382
Mexico,1973,56954001,0.030008391,3.996740692,4012.222613
Mexico,1974,58689001,0.029233354,4.120743193,4108.111366
Mexico,1975,60430001,0.028515569,4.247439837,4269.716503
Mexico,1976,62178001,0.027740568,4.376610855,3925.207536
Mexico,1977,63927001,0.026550095,4.508042429,4209.025266
Mexico,1978,65647001,0.024927767,4.641526689,4302.892087
Mexico,1979,67304001,0.023030039,4.776861717,4270.196295
Mexico,1980,68872001,0.021076701,4.913851543,4978.355291
Mexico,1981,70339001,0.019401408,5.052306147,5319.615691
Mexico,1982,71717001,0.018361561,5.192041459,5000.813214
Mexico,1983,73046001,0.018124597,5.33287936,4973.563566
Mexico,1984,74382001,0.018422467,5.47464768,5006.301319
Mexico,1985,75765001,0.018853682,5.617180196,4975.697621
Mexico,1986,77207001,0.019127615,5.76031664,4922.627646
Mexico,1987,78698001,0.019342086,5.903902689,4854.776279
Mexico,1988,80235001,0.019402986,6.047789973,4571.567147
Mexico,1989,81807001,0.019333455,6.191836071,4660.195648
Mexico,1990,83404001,0.0192373,6.33590451,4784.285143
Mexico,1991,85024001,0.01912808,6.479864769,4507.879459
Mexico,1992,86666001,0.018938899,6.623592276,4634.216719
Mexico,1993,88323001,0.018675779,6.766968409,4904.322942
Mexico,1994,89988001,0.018300646,6.909880494,4659.268506
Mexico,1995,91650001,0.017950309,7.052221811,4534.395572
Mexico,1996,93310001,0.017538998,7.193891584,5078.978111
Mexico,1997,94961001,0.016812208,7.334794992,4909.722312
Mexico,1998,96571001,0.015739458,7.474843161,5498.349594
Mexico,1999,98103001,0.014451206,7.613953167,5204.724412
Mexico,2000,99531001,0.013065949,7.752048037,5274.051436
Mexico,2001,100840001,0.011849391,7.889056747,5612.948083
Mexico,2002,102042001,0.010945155,8.024914222,5390.955529
Mexico,2003,103165001,0.010471805,8.159561338,5509.152177
Mexico,2004,104251001,0.010296826,8.29294492,NA
South Korea,1963,27138001,0.022913305,5.207233536,2549.789403
South Korea,1964,27767001,0.022188705,5.343600402,2766.826887
South Korea,1965,28390001,0.02139678,5.488467797,2705.798532
South Korea,1966,29004001,0.020543291,5.640922072,2804.706133
South Korea,1967,29606001,0.019997322,5.800082536,2569.126915
South Korea,1968,30204001,0.019962312,5.965101457,2603.194023
South Korea,1969,30813001,0.020144288,6.135164063,3036.27369
South Korea,1970,31440001,0.02052581,6.309488541,2833.34142
South Korea,1971,32092001,0.020754094,6.487326035,2948.140742
South Korea,1972,32765001,0.020451722,6.667960652,3008.86034
South Korea,1973,33442001,0.019455463,6.850709455,3055.572934
South Korea,1974,34099001,0.018076632,7.034922467,2956.040995
South Korea,1975,34721001,0.016538272,7.21998267,3215.307518
South Korea,1976,35300001,0.015209525,7.405306007,3435.836984
South Korea,1977,35841001,0.014514284,7.590341378,3499.656182
South Korea,1978,36365001,0.014577676,7.774570642,3708.457794
South Korea,1979,36899001,0.015062551,7.957508618,3881.668405
South Korea,1980,37459001,0.015732923,8.138703085,3019.859393
South Korea,1981,38053001,0.01611004,8.31773478,3526.656118
South Korea,1982,38671001,0.016109108,8.494217399,3524.866198
South Korea,1983,39299001,0.015578172,8.667797597,3853.112164
South Korea,1984,39916001,0.014648177,8.83815499,3883.083618
South Korea,1985,40505001,0.013706402,9.005002151,3896.760396
South Korea,1986,41064001,0.012872183,9.168084613,3979.341359
South Korea,1987,41596001,0.01197247,9.327180867,4270.781187
South Korea,1988,42097001,0.010938366,9.482102366,4424.015466
South Korea,1989,42560001,0.009889843,9.63269352,4604.432534
South Korea,1990,42983001,0.008755731,9.778831698,4153.054088
South Korea,1991,43361001,0.00771903,9.920427228,4246.515623
South Korea,1992,43697001,0.007114708,10.0574234,4333.995225
South Korea,1993,44009001,0.007087009,10.18979646,4265.380711
South Korea,1994,44322001,0.007395536,10.31755561,4094.206425
South Korea,1995,44651001,0.007919111,10.44074302,4752.656145
South Korea,1996,45006001,0.008253629,10.55943382,4742.475753
South Korea,1997,45379001,0.008251632,10.67373608,4528.012029
South Korea,1998,45755001,0.007728771,10.78379085,4311.70893
South Korea,1999,46110001,0.006894418,10.88977213,4583.8449
South Korea,2000,46429001,0.005969782,10.99188688,4541.754328
South Korea,2001,46707001,0.00514656,11.09037503,4500.448204
South Korea,2002,46948001,0.004590283,11.18550945,4548.271302
South Korea,2003,47164001,0.004273782,11.27759598,4303.552275
South Korea,2004,47366001,0.004213549,11.36697341,NA